component,action,start,end,duration,status,run
pickplace,move_to_home_initial,1779180291.9109511,1779180298.4312236,6.520265579223633,ok,8
pickplace,conveyor_belt_running_until_object_detected,1779180298.4400342,1779180299.9227233,1.4826881885528564,ok,8
pickplace,gripper_open,1779180299.9231539,1779180302.9315643,3.00840163230896,ok,8
pickplace,move_to_pick,1779180302.9321496,1779180309.460498,6.528346300125122,ok,8
pickplace,gripper_close,1779180309.4608305,1779180312.4694617,3.0086257457733154,ok,8
pickplace,move_to_color_sensor,1779180312.469805,1779180321.5069938,9.037184238433838,ok,8
pickplace,gripper_open,1779180321.507353,1779180324.514869,3.0075106620788574,ok,8
pickplace,move_to_home_final,1779180324.5152035,1779180333.552366,9.037152767181396,ok,8
pickplace,gripper_close,1779180333.5530052,1779180336.562123,3.0091142654418945,ok,8
controller,pickplace_total,1779180289.597682,1779180336.6351902,47.03750991821289,unknown,8
controller,colorsensor_total,1779180336.635323,1779180337.0395663,0.40424180030822754,unknown,8
sorter,move_to_home_initial,1779180337.0762377,1779180343.5965111,6.52026104927063,ok,8
sorter,gripper_open,1779180343.5971365,1779180346.6061387,3.0090012550354004,ok,8
sorter,move_to_color_sensor,1779180346.6064832,1779180353.1342905,6.527798891067505,ok,8
sorter,gripper_close,1779180353.1348913,1779180356.1438854,3.008993148803711,ok,8
sorter,throwing_block,1779180356.1442285,1779180366.6902947,10.54605746269226,ok,8
sorter,gripper_close,1779180366.6909091,1779180369.7007928,3.009883165359497,ok,8
sorter,move_to_home_final,1779180369.7011242,1779180378.738958,9.037825107574463,ok,8
controller,sorter_total,1779180337.039962,1779180383.3601754,46.320213317871094,unknown,8
pickplace,move_to_home_initial,1779180775.376148,1779180781.8982272,6.52206826210022,ok,9
pickplace,conveyor_belt_running_until_object_detected,1779180781.9022882,1779180784.0177464,2.115455389022827,ok,9
pickplace,gripper_open,1779180784.0186214,1779180787.02288,3.004253387451172,ok,9
pickplace,move_to_pick,1779180787.023448,1779180793.5496721,6.526218414306641,ok,9
pickplace,gripper_close,1779180793.5969858,1779180796.601498,3.004509687423706,ok,9
pickplace,move_to_color_sensor,1779180796.602091,1779180805.6393964,9.037301063537598,ok,9
pickplace,gripper_open,1779180805.6399927,1779180808.6498158,3.0098180770874023,ok,9
pickplace,move_to_home_final,1779180808.650392,1779180817.6902068,9.039810180664062,ok,9
pickplace,gripper_close,1779180817.6907787,1779180820.6990333,3.0082497596740723,ok,9
controller,pickplace_total,1779180774.0886493,1779180820.7613943,46.67273998260498,unknown,9
controller,colorsensor_total,1779180820.7617638,1779180821.2205245,0.45876145362854004,unknown,9
sorter,move_to_home_initial,1779180821.2639759,1779180827.784899,6.520921945571899,ok,9
sorter,gripper_open,1779180827.7852652,1779180830.7945092,3.0092391967773438,ok,9
sorter,move_to_color_sensor,1779180830.7948303,1779180837.3145914,6.519753932952881,ok,9
sorter,gripper_close,1779180837.31517,1779180840.3232253,3.0080511569976807,ok,9
sorter,move_to_conveyor,1779180840.3238614,1779180850.8652902,10.541424989700317,ok,9
sorter,gripper_close,1779180850.8658705,1779180853.872202,3.0063271522521973,ok,9
sorter,move_to_home_final,1779180853.8727734,1779180862.9111447,9.038365602493286,ok,9
controller,sorter_total,1779180821.221276,1779180864.3055575,43.0842809677124,unknown,9
