component,action,start,end,duration,status
pickplace,move_to_home_initial,1779780403.9692106,1779780410.4961386,6.526921272277832,ok
pickplace,conveyor_belt_running_until_object_detected,1779780410.505031,1779780414.195297,3.690263032913208,ok
pickplace,gripper_open,1779780414.1961458,1779780417.2054381,3.009291410446167,ok
pickplace,move_to_pick,1779780417.2057605,1779780423.7255874,6.519818544387817,ok
pickplace,gripper_close,1779780423.7261717,1779780426.736155,3.009977340698242,ok
pickplace,move_to_color_sensor,1779780426.7367985,1779780435.7766697,9.039865732192993,ok
pickplace,gripper_open,1779780435.7772918,1779780438.785485,3.0081865787506104,ok
pickplace,move_to_home_final,1779780438.7860663,1779780447.825414,9.039343118667603,ok
pickplace,gripper_close,1779780447.8259895,1779780450.8354034,3.0094072818756104,ok
controller,pickplace_total,1779780403.930514,1779780450.8929234,46.96240758895874,ok
controller,colorsensor_total,1779780450.8933403,1779780451.3034604,0.41012024879455566,ok
sorter,move_to_home_initial,1779780451.3462267,1779780457.8722847,6.526050090789795,ok
sorter,gripper_open,1779780457.8728771,1779780460.8815567,3.008674144744873,ok
sorter,move_to_color_sensor,1779780460.8821404,1779780467.4014292,6.519283294677734,ok
sorter,gripper_close,1779780467.4020123,1779780470.4115152,3.0094971656799316,ok
sorter,move_to_conveyor,1779780470.4120848,1779780480.9597673,10.547675132751465,ok
sorter,gripper_close,1779780480.9603333,1779780483.9695637,3.0092227458953857,ok
sorter,move_to_home_final,1779780483.970144,1779780492.9990253,9.028881549835205,ok
controller,sorter_total,1779780451.3042426,1779780493.052237,41.74799680709839,ok
pickplace,move_to_home_initial,1779780493.102598,1779780499.6217835,6.519177198410034,ok
pickplace,conveyor_belt_running_until_object_detected,1779780499.6310427,1779780500.3835151,0.7524702548980713,ok
pickplace,gripper_open,1779780500.3843527,1779780503.391469,3.0071091651916504,ok
pickplace,move_to_pick,1779780503.3920727,1779780509.9213305,6.529251575469971,ok
pickplace,gripper_close,1779780509.9219463,1779780512.9308224,3.008868932723999,ok
pickplace,move_to_color_sensor,1779780512.9313977,1779780521.9704256,9.039021253585815,ok
pickplace,gripper_open,1779780521.9709477,1779780524.979874,3.008918285369873,ok
